cell,shock,clock,books,paired_gap_bps,cluster
grind-work-b1,grind,work,1,68.666999,material
grind-night-b1,grind,night,1,69.064092,material
grind-work-b1,grind,work,1,69.550348,material
grind-night-b1,grind,night,1,69.790985,material
grind-night-b3,grind,night,3,70.036209,material
crash-work-b3,crash,work,3,70.455324,material
grind-night-b3,grind,night,3,71.168683,material
grind-night-b1,grind,night,1,71.319858,material
grind-night-b1,grind,night,1,72.108289,material
grind-work-b1,grind,work,1,73.875554,material
grind-night-b1,grind,night,1,74.274226,material
grind-night-b1,grind,night,1,74.290927,material
grind-work-b3,grind,work,3,74.544737,material
grind-night-b1,grind,night,1,75.149426,material
crash-night-b1,crash,night,1,76.329710,material
grind-work-b3,grind,work,3,77.482457,material
grind-night-b3,grind,night,3,77.625336,material
grind-work-b3,grind,work,3,77.665502,material
grind-night-b1,grind,night,1,78.024177,material
grind-night-b3,grind,night,3,78.616301,material
grind-night-b3,grind,night,3,78.781712,material
grind-night-b3,grind,night,3,79.412903,material
grind-night-b1,grind,night,1,79.516505,material
grind-work-b1,grind,work,1,80.010214,material
grind-night-b1,grind,night,1,80.685136,material
grind-night-b1,grind,night,1,82.671848,material
grind-night-b3,grind,night,3,82.998717,material
grind-night-b1,grind,night,1,83.570856,material
grind-night-b3,grind,night,3,84.118952,material
grind-night-b1,grind,night,1,84.343964,material
grind-night-b1,grind,night,1,85.683377,material
grind-night-b1,grind,night,1,85.903770,material
grind-night-b3,grind,night,3,86.862901,material
grind-night-b3,grind,night,3,86.999693,material
grind-night-b3,grind,night,3,87.915907,material
grind-night-b3,grind,night,3,89.206560,material
grind-work-b3,grind,work,3,89.500681,material
grind-night-b3,grind,night,3,89.688481,material
grind-night-b3,grind,night,3,89.887008,material
grind-night-b3,grind,night,3,90.362486,material
grind-night-b1,grind,night,1,90.599647,material
grind-night-b1,grind,night,1,92.208192,material
grind-night-b3,grind,night,3,92.667426,material
grind-work-b1,grind,work,1,93.188744,material
grind-night-b3,grind,night,3,94.551293,material
grind-night-b1,grind,night,1,94.858785,material
grind-night-b3,grind,night,3,96.005868,material
grind-night-b1,grind,night,1,96.494554,material
crash-night-b1,crash,night,1,96.680722,material
grind-work-b1,grind,work,1,97.069992,material
grind-work-b1,grind,work,1,98.092934,material
grind-night-b3,grind,night,3,98.273818,material
grind-night-b3,grind,night,3,98.478704,material
grind-night-b1,grind,night,1,99.084219,material
crash-night-b1,crash,night,1,99.602642,material
grind-night-b3,grind,night,3,100.619299,material
grind-night-b3,grind,night,3,101.521055,material
grind-night-b1,grind,night,1,102.391802,material
crash-night-b1,crash,night,1,102.681440,material
grind-work-b3,grind,work,3,102.805372,material
grind-night-b1,grind,night,1,103.155463,material
grind-work-b1,grind,work,1,104.029034,material
grind-night-b1,grind,night,1,104.179582,material
grind-night-b1,grind,night,1,104.265661,material
